seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,barometer_relativeAltitude,barometer_pressure,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
4.7,2.03155899,0.250323296,-1.765986919,-0.200686947,8.79309082,4.337242126,-0.824438393,0.360486567,-0.151799902,0.445812017,0.16451107,0.695103109,0.539462209,-1.617034197,-1.112134337,-2.535289288,-0.560058594,880.9567261,1.831705689,9.098708153,2.603390932,-0.821918547,0.357355893,-0.16737695,1.214357495,8.909674644,2.184647083
4.8,-0.090297475,-2.602838993,-0.674360275,0.068296015,9.223936081,3.329374075,-1.225471139,-0.605290651,-0.610864758,0.403651297,0.180289447,0.681185424,0.583564699,-1.550285935,-1.224333286,-2.415375233,-0.549560547,880.9518433,-0.058624156,6.544369698,2.690729141,-1.222951293,-0.608421326,-0.626441836,-0.040677983,6.29790926,2.703889608
4.9,-0.458423644,-3.095646858,0.64198637,0.544105649,9.537628174,2.215395451,-1.049236655,-0.278783411,-0.611781061,0.357280225,0.193831742,0.659308434,0.632528663,-1.329961419,-1.336024523,-2.136430264,-0.486083984,880.9467163,0.082552381,6.818347931,2.866601467,-1.046716809,-0.281914085,-0.627358139,0.047856454,6.526423931,2.82831645
5,-0.538287282,1.043649673,1.644144416,0.907982349,9.676382065,1.436248541,-0.770071387,-0.0457385,-0.31826055,0.328128099,0.211407542,0.642414927,0.664335668,-0.964361072,-1.399172664,-1.743581533,-1.017211914,881.0018921,0.307477713,10.54875851,2.930011272,-0.767551601,-0.048869181,-0.333837599,0.330209523,10.63490009,3.072384357
5.1,-0.20392096,4.845981598,0.851757288,1.070244074,9.687385559,1.085427046,-0.078267053,0.099036455,0.022296565,0.31746617,0.215180367,0.631930888,0.673799336,-0.792734385,-1.414678812,-1.566845655,-1.783447266,881.1698608,0.854237676,14.51246929,1.929811478,-0.075747229,0.095905773,0.006719512,1.444068432,15.14776421,1.587637782
5.2,0.226143003,0.639420509,-1.973218203,0.819533885,9.698081017,1.202491164,0.939433694,0.816802561,0.362853676,0.341585577,0.23510246,0.633708358,0.65199995,-0.972574592,-1.421856999,-1.81955719,-2.084716797,881.116394,1.044467092,10.52841949,0.349352092,0.94195348,0.813671887,0.347276628,0.888933599,10.2652092,-0.250049978
5.3,-0.29531163,-1.125144005,-0.333093286,0.557939053,9.569167137,2.071265936,0.902170897,0.807639599,0.499076515,0.381201029,0.228249282,0.647653699,0.618977189,-1.30767107,-1.350274682,-2.20459342,0.055541992,880.9718628,0.125623181,6.792026997,1.481157184,0.904690742,0.804508924,0.483499467,0.184247345,7.587640762,1.636690736
5.4,-1.058331251,-4.070569992,-1.916632533,0.34704718,9.296081543,3.398934364,1.699349403,0.562682807,0.37140578,0.443702012,0.220085695,0.662190676,0.575090587,-1.459440589,-1.215288162,-2.432358265,1.218139648,880.7623901,-1.04685986,4.990231514,1.252642632,1.701869249,0.559552133,0.355828732,-0.868594646,5.309673309,1.338784218
5.5,-0.578092337,0.880636215,-0.670127392,-0.079054289,8.527255058,4.842525959,1.591531873,0.403857976,0.458759457,0.480801553,0.165304899,0.690438211,0.514586449,-1.587119818,-1.054266095,-2.571457148,1.323852539,880.7619019,-0.65563339,9.244669914,4.402793884,1.5940516,0.400727302,0.443182409,-0.074177504,9.468399048,4.371686935
5.6,0.226547211,4.967801094,-1.384082794,-0.051335771,8.147462845,5.457780838,0.255875975,-0.175852701,-0.004886918,0.516433299,0.161372393,0.691005588,0.480735242,-1.580116987,-0.980561614,-2.625868559,0.496826172,880.8395386,0.184247345,14.82592869,4.108476639,0.258395791,-0.178983375,-0.02046397,0.476171702,13.50509071,3.918246984
5.7,3.669819355,1.789381027,-2.211476803,-0.207517669,8.499353409,4.999620914,-0.767627954,-0.14317143,-0.119118631,0.479719013,0.163998485,0.697011054,0.509465039,-1.61453855,-1.034955978,-2.598631144,-0.237792969,880.9406128,3.422932863,9.824930191,2.374876499,-0.765108109,-0.146302119,-0.134695679,3.483949661,9.836894035,2.295913219
5.8,0.331650645,-1.285353184,-1.083644629,-0.148570016,8.982144356,3.932976246,-1.204396248,-1.120249629,-0.596509457,0.430452198,0.174915567,0.690136433,0.554030061,-1.605012774,-1.157803416,-2.51456666,-0.404174805,880.9362183,0.179461703,7.730013371,2.824727058,-1.201876402,-1.123380303,-0.612086535,0.197407871,7.408178806,3.24466753
5.9,-0.506918073,-3.571264267,0.316380501,0.206813619,9.435982704,2.66267395,-1.381241679,-0.359417558,-0.691804349,0.37110278,0.187337965,0.674062252,0.610595822,-1.49328053,-1.294977427,-2.313396215,-0.35925293,880.9376831,-0.189032987,6.131608009,2.932404041,-1.378721833,-0.362548232,-0.707381427,-0.269192547,5.871986866,2.81395936
6,-0.655422151,-1.144647598,0.95488894,0.603944302,9.652825356,1.62130034,-1.062064767,-0.273896486,-0.343000561,0.332414985,0.207255661,0.652880192,0.648299992,-1.214214325,-1.393443704,-2.000536203,-0.53894043,880.9506226,-0.033499517,9.066405296,2.545963287,-1.059544921,-0.27702719,-0.358577639,-0.066999033,8.693124771,2.538784742
6.1,-0.690466523,2.525101662,1.675055027,0.950288117,9.724766731,0.88475275,-0.545884013,-0.660879314,-0.492357016,0.297968268,0.215466127,0.639562368,0.680848062,-0.701737046,-1.44147253,-1.432090998,-1.344848633,881.0890503,0.196211457,12.10050392,2.492124796,-0.543364227,-0.664009988,-0.507934093,0.320638239,12.5623188,2.506481647
6.2,1.694188714,3.476703644,1.177554846,1.17087841,9.722637177,0.523797572,-0.229150653,0.665002644,0.142942354,0.278528422,0.213836432,0.628152668,0.694348693,-0.441806346,-1.439805984,-1.155231237,-2.911743164,881.2052612,2.872583628,13.16889954,1.695314884,-0.226630837,0.66187197,0.127365306,2.89292264,12.17228889,1.061216831
6.3,-0.195101023,0.068021774,-0.991082728,0.986687124,9.717746735,0.873056531,0.918053389,0.651563644,0.320398569,0.319352448,0.233367652,0.628675163,0.669567823,-0.72437346,-1.43604207,-1.529375911,-1.643432617,881.1495972,0.660419047,9.775876999,1.088734269,0.920573235,0.64843297,0.304821521,0.685543716,9.704092026,0.535992265
6.4,-0.653224885,-3.737876892,-0.730560422,0.629634321,9.652920723,1.787840605,0.997771263,1.130176187,0.513431847,0.379514903,0.243299663,0.640872836,0.629978955,-1.19820106,-1.378139257,-2.09490037,0.039672852,880.8886108,-0.108873427,5.126622677,0.558724105,1.000291109,1.127045512,0.497854799,-0.0526421,5.467599869,0.680758059
6.5,-1.231907845,-2.562374115,-2.191320419,0.3385759,9.283153534,3.1430583,1.763184786,0.359264851,0.412333727,0.438844532,0.225025028,0.657344043,0.569805264,-1.46348846,-1.24257803,-2.455279827,1.400512695,880.7631226,-0.960718274,6.555137634,0.803988397,1.765704632,0.356134176,0.396756679,-0.854237676,6.989434719,0.953539848
6.6,0.878717065,3.446213722,-0.557878494,-0.019765131,8.71629715,4.49395895,1.331914306,0.257861286,0.467922419,0.476811886,0.185746267,0.683386445,0.520703077,-1.574964881,-1.094752669,-2.583504677,1.16796875,880.7677612,0.854237676,13.60678577,3.934996843,1.334434152,0.254730612,0.452345371,0.775274515,12.86740398,3.894318819
6.7,1.405054688,5.479147911,-0.760844469,0.056149822,8.616738319,4.681778908,-0.682717741,-0.527710795,-0.430965096,0.475344181,0.169693261,0.68440032,0.526223063,-1.558803678,-1.073053956,-2.531831741,0.237792969,880.9179077,3.8668015,14.15354633,3.957728624,-0.680197954,-0.53084147,-0.446542144,2.561516523,14.16790295,4.516452789
6.8,1.180371046,0.038064003,-2.91428566,0.575577199,9.008213997,4.019184589,-0.992120743,0.014431681,-0.339640826,0.46747002,0.19200179,0.66112572,0.561471879,-1.421742797,-1.14469099,-2.409954071,-0.673706055,880.9650269,0.904486954,9.03051281,1.099501967,-0.989600956,0.011300999,-0.355217874,1.26341033,8.74576664,1.128215909
6.9,0.055234611,-3.025448799,0.490132809,0.709640265,9.354026794,2.858142853,-1.341535449,-0.894840539,-0.625830948,0.40037328,0.18949604,0.654148042,0.61309284,-1.327430367,-1.265790701,-2.198727131,-0.414794922,880.9411011,0.722632468,6.269195557,3.218346357,-1.339015603,-0.897971213,-0.641408026,0.879362345,5.950950146,3.108276606
7,-0.888142526,-3.160476685,0.518504739,1.284914136,9.574151993,1.689669967,-1.106047034,-0.082695819,-0.605977833,0.360610664,0.210747778,0.62455821,0.659903288,-0.920638919,-1.352610946,-1.757720232,-0.430664063,880.9391479,0.538385093,6.7704916,2.159522533,-1.103527188,-0.085826501,-0.621554911,0.465404004,6.492924213,2.114058733
7.1,-0.583531857,0.728381157,1.5145998,1.564387441,9.633290291,0.959113061,-0.54344058,-0.358501256,-0.250149131,0.330067009,0.221294552,0.609149873,0.68616128,-0.549990475,-1.382487178,-1.355449438,-0.953857422,881.0599976,1.28614223,10.95793152,2.456232548,-0.540920734,-0.36163196,-0.265726179,1.191625714,10.61336517,2.426322222
